PRODUCT_A,PRODUCT_B,OCCURRENCES,SUPPORT_A,SUPPORT_AB,SUPPORT_B,CONFIDENCE,LIFT_RATIO
Binders,Xerox,324,0.09005403241945167,0.0324194516710026,0.0849509705823494,0.36,4.23773851590106
Binders,Chairs,279,0.09005403241945167,0.02791675005003002,0.0617370422253352,0.31,5.02129659643436
Chairs,Xerox,278,0.0617370422253352,0.027816690014008404,0.0849509705823494,0.4505672609400324,5.3038506546933855
BindingAccessories,Xerox,270,0.06233740244146488,0.027016209725835502,0.0849509705823494,0.4333868378812199,5.101611375482817
Binders,BindingAccessories,268,0.09005403241945167,0.026816089653792275,0.06233740244146488,0.29777777777777775,4.776871767433565
BindingAccessories,Chairs,225,0.06233740244146488,0.02251350810486292,0.0617370422253352,0.36115569823434995,5.849902833312956
StorageBox,Xerox,201,0.03682209325595357,0.020112067240344207,0.0849509705823494,0.5461956521739131,6.42953986787525
Binders,LandlinePhones,195,0.09005403241945167,0.01951170702421453,0.037022213327996795,0.21666666666666667,5.852342342342343
Binders,ColourPencils,188,0.09005403241945167,0.018811286772063236,0.03352011206724034,0.20888888888888887,6.231747927031509
Labels,Xerox,188,0.03642185311186712,0.018811286772063236,0.0849509705823494,0.5164835164835165,6.0797835850839395
Binders,Labels,187,0.09005403241945167,0.018711226736041624,0.03642185311186712,0.20777777777777776,5.7047557997558
Binders,StorageBox,187,0.09005403241945167,0.018711226736041624,0.03682209325595357,0.20777777777777776,5.642747584541063
LandlinePhones,Xerox,184,0.037022213327996795,0.018411046627976786,0.0849509705823494,0.4972972972972973,5.853933085028492
ColourPencils,Xerox,178,0.03352011206724034,0.017810686411847108,0.0849509705823494,0.5313432835820896,6.254705272225446
BindingAccessories,StorageBox,166,0.06233740244146488,0.016609965979587752,0.03682209325595357,0.2664526484751204,7.236216763207482
Binders,Tables,162,0.09005403241945167,0.0162097258355013,0.029117470482289375,0.18,6.181855670103093
Binders,XeroxPapers,162,0.09005403241945167,0.0162097258355013,0.03031819091454873,0.18,5.937029702970297
BindingAccessories,Labels,161,0.06233740244146488,0.01610966579947969,0.03642185311186712,0.25842696629213485,7.095382145943945
Chairs,StorageBox,161,0.0617370422253352,0.01610966579947969,0.03682209325595357,0.26094003241491087,7.086507293354944
Tables,Xerox,158,0.029117470482289375,0.01580948569141485,0.0849509705823494,0.5429553264604812,6.39139638709782
Chairs,LandlinePhones,151,0.0617370422253352,0.015109065439263557,0.037022213327996795,0.24473257698541329,6.610425336195191
Xerox,XeroxPapers,150,0.0849509705823494,0.015009005403241946,0.03031819091454873,0.17667844522968199,5.827473206684626
BindingAccessories,LandlinePhones,148,0.06233740244146488,0.014808885331198719,0.037022213327996795,0.23756019261637237,6.41669341894061
Chairs,ColourPencils,147,0.0617370422253352,0.014708825295177107,0.03352011206724034,0.23824959481361427,7.107661046469436
BindingAccessories,ColourPencils,145,0.06233740244146488,0.01450870522313388,0.03352011206724034,0.23274478330658105,6.943436908555138
Chairs,Labels,144,0.0617370422253352,0.014408645187112268,0.03642185311186712,0.233387358184765,6.4078935651058835
Binders,Envelopes,142,0.09005403241945167,0.01420852511506904,0.025415249149489692,0.15777777777777777,6.207996500437445
Binders,MobilePhone,141,0.09005403241945167,0.014108465079047429,0.023414048429057435,0.15666666666666668,6.691139601139601
BindingAccessories,Tables,139,0.06233740244146488,0.013908345007004202,0.029117470482289375,0.22311396468699837,7.662546264886123
Xerox,Envelopes,138,0.0849509705823494,0.01380828497098259,0.025415249149489692,0.16254416961130744,6.395537130296876
Xerox,MobilePhone,136,0.0849509705823494,0.013608164898939363,0.023414048429057435,0.160188457008245,6.841553159574361
BindingAccessories,XeroxPapers,133,0.06233740244146488,0.013307984790874524,0.03031819091454873,0.21348314606741572,7.041420996032187
Chairs,Tables,130,0.0617370422253352,0.013007804682809685,0.029117470482289375,0.2106969205834684,7.236099739900973
Chairs,XeroxPapers,128,0.0617370422253352,0.01280768461076646,0.03031819091454873,0.20745542949756887,6.84260581649737
Binders,USB,124,0.09005403241945167,0.012407444466680007,0.02061236742045227,0.13777777777777778,6.6842286947141325
BindingAccessories,Envelopes,120,0.06233740244146488,0.012007204322593557,0.025415249149489692,0.1926163723916533,7.578771754654265
Chairs,Envelopes,119,0.0617370422253352,0.011907144286571943,0.025415249149489692,0.19286871961102106,7.588700723592695
Labels,StorageBox,119,0.03642185311186712,0.011907144286571943,0.03682209325595357,0.3269230769230769,8.87844899665552
